video_id,title,duration_seconds,youtube_url,download_status
BwfqvpCAdeQ  ,,,https://www.youtube.com/watch?v=BwfqvpCAdeQ  # Lao Fried Rice Ball CA [9:27],failed: ERROR: [youtube] BwfqvpCAdeQ: Requested format is 
ILVeTE6416Q  ,,,https://www.youtube.com/watch?v=ILVeTE6416Q  # Hot Dogs Reseda CA [10:57],failed: ERROR: [youtube] ILVeTE6416Q: Requested format is 
vLWFRNY10ww  ,,,https://www.youtube.com/watch?v=vLWFRNY10ww  # Pittsburgh Pasta [12:28],failed: ERROR: [youtube] vLWFRNY10ww: Requested format is 
Dcfs_wKVi9A  ,,,https://www.youtube.com/watch?v=Dcfs_wKVi9A  # Biscuits & Gravy Portland [12:50],failed: ERROR: [youtube] Dcfs_wKVi9A: Requested format is 
CFSLE4rFbPI  ,,,https://www.youtube.com/watch?v=CFSLE4rFbPI  # Cheeseburger NYC [12:54],failed: ERROR: [youtube] CFSLE4rFbPI: Requested format is 
8f7oydDMu1c  ,,,https://www.youtube.com/watch?v=8f7oydDMu1c  # Pizza Loaf Portland [19:08],failed: ERROR: [youtube] 8f7oydDMu1c: Requested format is 
SDxziQtijtM  ,,,https://www.youtube.com/watch?v=SDxziQtijtM  # Minneapolis [20:26],failed: ERROR: [youtube] SDxziQtijtM: Requested format is 
5FlI4pCEnbA  ,,,https://www.youtube.com/watch?v=5FlI4pCEnbA  # Fred's Texas Cafe [21:17],failed: ERROR: [youtube] 5FlI4pCEnbA: Requested format is 
ZWwwmcow64Q  ,,,https://www.youtube.com/watch?v=ZWwwmcow64Q  # KC BBQ [21:09],failed: ERROR: [youtube] ZWwwmcow64Q: Requested format is 
r8OqkxuHO5Y  ,,,https://www.youtube.com/watch?v=r8OqkxuHO5Y  # BBQ Portland [22:02],failed: ERROR: [youtube] r8OqkxuHO5Y: Requested format is 
otZTFDdvnrU  ,,,https://www.youtube.com/watch?v=otZTFDdvnrU  # San Francisco [22:29],failed: ERROR: [youtube] otZTFDdvnrU: Requested format is 
eut9zhDgvIk  ,,,https://www.youtube.com/watch?v=eut9zhDgvIk  # Pittsburgh Pancakes [22:55],failed: ERROR: [youtube] eut9zhDgvIk: Requested format is 
9_IJBYW4vWM  ,,,https://www.youtube.com/watch?v=9_IJBYW4vWM  # Mediterranean [23:07],failed: ERROR: [youtube] 9_IJBYW4vWM: Requested format is 
2Y4A0FQVhEU  ,,,https://www.youtube.com/watch?v=2Y4A0FQVhEU  # Thin Crust Pizza Dallas [23:53],failed: ERROR: [youtube] 2Y4A0FQVhEU: Requested format is 
V3QCLF3uju8  ,,,https://www.youtube.com/watch?v=V3QCLF3uju8  # Bagels NOLA [24:17],failed: ERROR: [youtube] V3QCLF3uju8: Requested format is 
8n8C91eU1Os  ,,,https://www.youtube.com/watch?v=8n8C91eU1Os  # Southern BBQ [26:06],failed: ERROR: [youtube] 8n8C91eU1Os: Requested format is 
9lgi73X4oGU  ,,,https://www.youtube.com/watch?v=9lgi73X4oGU  # Buffalo NY [26:31],failed: ERROR: [youtube] 9lgi73X4oGU: Requested format is 
Uh9XZtFYDK0  ,,,https://www.youtube.com/watch?v=Uh9XZtFYDK0  # Philadelphia [26:37],failed: ERROR: [youtube] Uh9XZtFYDK0: Requested format is 
fqi0tOGh7r0  ,,,https://www.youtube.com/watch?v=fqi0tOGh7r0  # Cleveland [26:59],failed: ERROR: [youtube] fqi0tOGh7r0: Requested format is 
3Tsj8yHFeZU  ,,,https://www.youtube.com/watch?v=3Tsj8yHFeZU  # Corned Beef SF [27:00],failed: ERROR: [youtube] 3Tsj8yHFeZU: Requested format is 
5sMtashu7IM  ,,,https://www.youtube.com/watch?v=5sMtashu7IM  # Great Lakes Road Trip [27:26],failed: ERROR: [youtube] 5sMtashu7IM: Requested format is 
-DD4PEUheLU  ,,,https://www.youtube.com/watch?v=-DD4PEUheLU  # Ramen [30:50],failed: ERROR: [youtube] -DD4PEUheLU: Requested format is 
HGdeCh12MpU  ,,,https://www.youtube.com/watch?v=HGdeCh12MpU  # Bacon Sausage Ham [32:32],failed: ERROR: [youtube] HGdeCh12MpU: Requested format is 
5bRC4Oq8En8  ,,,https://www.youtube.com/watch?v=5bRC4Oq8En8  # Best of Season 9 [56:16],failed: ERROR: [youtube] 5bRC4Oq8En8: Requested format is 
ExK9OxyaPJg  ,,,https://www.youtube.com/watch?v=ExK9OxyaPJg  # Dishes by Guy's Friends [59:10],failed: ERROR: [youtube] ExK9OxyaPJg: Requested format is 
CgPqS91kAWo  ,,,https://www.youtube.com/watch?v=CgPqS91kAWo  # Best of Season 8 [1:00:03],failed: ERROR: [youtube] CgPqS91kAWo: Requested format is 
TiYNdk28WxA  ,,,https://www.youtube.com/watch?v=TiYNdk28WxA  # Best of 2025 [1:05:42],failed: ERROR: [youtube] TiYNdk28WxA: Requested format is 
_GwN6SiRpzE  ,,,https://www.youtube.com/watch?v=_GwN6SiRpzE  # Seafood [1:36:24],failed: ERROR: [youtube] _GwN6SiRpzE: Requested format is 
ZKv4Uf8Bt0g  ,,,https://www.youtube.com/watch?v=ZKv4Uf8Bt0g  # All 50 States [1:55:28],failed: ERROR: [youtube] ZKv4Uf8Bt0g: Requested format is 
bawGcAsAA-w  ,,,https://www.youtube.com/watch?v=bawGcAsAA-w  # Global Flavors [4:06:15],failed: ERROR: [youtube] bawGcAsAA-w: Requested format is 
BwfqvpCAdeQ  ,,,https://www.youtube.com/watch?v=BwfqvpCAdeQ  # Lao Fried Rice Ball CA [9:27],success
ILVeTE6416Q  ,,,https://www.youtube.com/watch?v=ILVeTE6416Q  # Hot Dogs Reseda CA [10:57],success
vLWFRNY10ww  ,,,https://www.youtube.com/watch?v=vLWFRNY10ww  # Pittsburgh Pasta [12:28],success
Dcfs_wKVi9A  ,,,https://www.youtube.com/watch?v=Dcfs_wKVi9A  # Biscuits & Gravy Portland [12:50],success
CFSLE4rFbPI  ,,,https://www.youtube.com/watch?v=CFSLE4rFbPI  # Cheeseburger NYC [12:54],success
8f7oydDMu1c  ,,,https://www.youtube.com/watch?v=8f7oydDMu1c  # Pizza Loaf Portland [19:08],success
SDxziQtijtM  ,,,https://www.youtube.com/watch?v=SDxziQtijtM  # Minneapolis [20:26],success
5FlI4pCEnbA  ,,,https://www.youtube.com/watch?v=5FlI4pCEnbA  # Fred's Texas Cafe [21:17],success
ZWwwmcow64Q  ,,,https://www.youtube.com/watch?v=ZWwwmcow64Q  # KC BBQ [21:09],success
r8OqkxuHO5Y  ,,,https://www.youtube.com/watch?v=r8OqkxuHO5Y  # BBQ Portland [22:02],success
otZTFDdvnrU  ,,,https://www.youtube.com/watch?v=otZTFDdvnrU  # San Francisco [22:29],success
eut9zhDgvIk  ,,,https://www.youtube.com/watch?v=eut9zhDgvIk  # Pittsburgh Pancakes [22:55],success
9_IJBYW4vWM  ,,,https://www.youtube.com/watch?v=9_IJBYW4vWM  # Mediterranean [23:07],success
2Y4A0FQVhEU  ,,,https://www.youtube.com/watch?v=2Y4A0FQVhEU  # Thin Crust Pizza Dallas [23:53],success
V3QCLF3uju8  ,,,https://www.youtube.com/watch?v=V3QCLF3uju8  # Bagels NOLA [24:17],success
8n8C91eU1Os  ,,,https://www.youtube.com/watch?v=8n8C91eU1Os  # Southern BBQ [26:06],success
9lgi73X4oGU  ,,,https://www.youtube.com/watch?v=9lgi73X4oGU  # Buffalo NY [26:31],success
Uh9XZtFYDK0  ,,,https://www.youtube.com/watch?v=Uh9XZtFYDK0  # Philadelphia [26:37],success
fqi0tOGh7r0  ,,,https://www.youtube.com/watch?v=fqi0tOGh7r0  # Cleveland [26:59],success
3Tsj8yHFeZU  ,,,https://www.youtube.com/watch?v=3Tsj8yHFeZU  # Corned Beef SF [27:00],success
5sMtashu7IM  ,,,https://www.youtube.com/watch?v=5sMtashu7IM  # Great Lakes Road Trip [27:26],success
-DD4PEUheLU  ,,,https://www.youtube.com/watch?v=-DD4PEUheLU  # Ramen [30:50],success
HGdeCh12MpU  ,,,https://www.youtube.com/watch?v=HGdeCh12MpU  # Bacon Sausage Ham [32:32],success
5bRC4Oq8En8  ,,,https://www.youtube.com/watch?v=5bRC4Oq8En8  # Best of Season 9 [56:16],success
ExK9OxyaPJg  ,,,https://www.youtube.com/watch?v=ExK9OxyaPJg  # Dishes by Guy's Friends [59:10],success
CgPqS91kAWo  ,,,https://www.youtube.com/watch?v=CgPqS91kAWo  # Best of Season 8 [1:00:03],success
TiYNdk28WxA  ,,,https://www.youtube.com/watch?v=TiYNdk28WxA  # Best of 2025 [1:05:42],success
_GwN6SiRpzE  ,,,https://www.youtube.com/watch?v=_GwN6SiRpzE  # Seafood [1:36:24],success
ZKv4Uf8Bt0g  ,,,https://www.youtube.com/watch?v=ZKv4Uf8Bt0g  # All 50 States [1:55:28],success
bawGcAsAA-w  ,,,https://www.youtube.com/watch?v=bawGcAsAA-w  # Global Flavors [4:06:15],success
